語1,語2,共起事例数,Jaccard（ネットワーク重み）
搬送,走る,79,0.07610789980732177
床,時間,79,0.06550580431177445
体育,崩す,79,0.05948795180722891
体育,強い,79,0.05687544996400288
れる,失う,79,0.053704962610469066
前歯,時間,79,0.05291359678499665
倒れる,試合,79,0.0527369826435247
シャトル,眼,79,0.05263157894736842
れる,指,79,0.05221414408460013
転倒,骨折,79,0.05057618437900128
転倒,遊ぶ,79,0.045930232558139536
れる,サッカー,79,0.04587688734030197
ソフトボール,当たる,79,0.043815862451469775
外傷,当たる,79,0.043382756727073035
瘢痕,負傷,79,0.04298150163220892
ボール,骨折,79,0.04091144484722942
教室,眼,79,0.04006085192697769
人,当たる,79,0.037999037999038
加える,練習,79,0.03589277601090413
ボール,走る,79,0.035142348754448396
自転車,部,79,0.029981024667931688
受診,手術,78,0.1455223880597015
残る,車,78,0.0790273556231003
足,蹴る,78,0.07894736842105263
時間,瘢痕,78,0.07580174927113703
残る,顔,78,0.06666666666666667
しまう,前歯,78,0.056155507559395246
くる,時間,78,0.05412907702984039
しまう,時間,78,0.053388090349075976
瘢痕,転倒,78,0.053388090349075976
バドミントン,眼,78,0.051655629139072845
れる,性,78,0.051587301587301584
負傷,頭部,78,0.040477426050856254
チーム,部,78,0.032059186189889025
本,部,78,0.029545454545454545
ガラス,窓,77,0.22448979591836735
意識,病院,77,0.1873479318734793
戻る,教室,77,0.11458333333333333
崩す,自転車,77,0.09254807692307693
休憩,遊ぶ,77,0.08546059933407325
崩す,床,77,0.08536585365853659
休憩,運動,77,0.06609442060085836
教室,走る,77,0.06379453189726594
本,顔面,77,0.05665930831493746
前方,転倒,77,0.05547550432276657
ぶつかる,顔面,77,0.051470588235294115
倒れる,顔面,77,0.04891994917407878
入る,眼,77,0.045294117647058825
当たる,振る,77,0.04294478527607362
当たる,捕る,77,0.04270660011092623
左手,負傷,77,0.04230769230769231
打球,負傷,77,0.040377556371263765
チーム,練習,77,0.03530490600641907
衝突,部,77,0.031010873942811115
複,視,76,0.9047619047619048
残存,骨折,76,0.13768115942028986
障害,骨折,76,0.1165644171779141
倒れる,手術,76,0.08725602755453502
バッター,打つ,76,0.08520179372197309
歯科,運動,76,0.08110992529348986
場,補綴,76,0.0751730959446093
場,歯科,76,0.07495069033530571
加える,場,76,0.07436399217221135
場,打球,76,0.06540447504302926
ぶつかる,時間,76,0.059375
滑る,顔面,76,0.056254626202812734
体育,足,76,0.05128205128205128
れる,機能,76,0.05121293800539083
れる,状態,76,0.04884318766066838
