順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
443,ICD,細,0.194915,23,57,84,118,7682
444,動,要請,0.19469,22,85,50,113,7682
445,サイド,水泳,0.194175,20,49,74,103,7682
446,ICD,病院,0.19403,52,57,263,268,7682
447,手術,救急,0.193959,122,335,416,629,7682
448,受傷部位:眼,部,0.193829,647,1664,2321,3338,7682
449,マンション,自宅,0.193548,6,10,27,31,7682
450,ICD,動,0.193277,23,57,85,119,7682
451,ボール,試合,0.193177,419,1623,965,2169,7682
452,眼窩,複,0.192982,22,60,76,114,7682
453,ボール,野球,0.192919,376,1623,702,1949,7682
454,しゃがむ,込む,0.192308,10,41,21,52,7682
455,パンチ,ボクシング,0.192308,5,20,11,26,7682
456,ダブルス,バドミントン,0.192,24,32,117,125,7682
457,残る,障害,0.191623,183,797,341,955,7682
458,心肺,植え込む,0.191304,22,96,41,115,7682
459,眼,行動:球技,0.191277,364,1473,794,1903,7682
460,破る,補綴,0.191223,61,179,201,319,7682
461,動,搬送,0.190931,80,85,414,419,7682
462,要請,除,0.190909,21,50,81,110,7682
463,原因物:スポーツ用具,行動:球技,0.190746,437,1934,794,2291,7682
464,環境要因:天候,降る,0.190476,16,66,34,84,7682
465,宿泊,行事,0.190476,8,27,23,42,7682
466,アルコール,炎,0.190476,4,10,15,21,7682
467,カーテン,隠れる,0.190476,4,10,15,21,7682
468,分かる,原因,0.190476,4,13,12,21,7682
469,搬送,除,0.189904,79,414,81,416,7682
470,位,遠い,0.189655,11,54,15,58,7682
471,歯科,破る,0.189441,61,204,179,322,7682
472,一,人,0.189349,96,152,451,507,7682
473,行事,集団,0.189189,7,23,21,37,7682
474,乱取り,柔道,0.188976,24,30,121,127,7682
475,眼,部,0.188596,602,1473,2321,3192,7682
476,搬送,細,0.188544,79,414,84,419,7682
477,バッティング,野球,0.187651,155,279,702,826,7682
478,119,器,0.1875,15,26,69,80,7682
479,救命,植込み,0.1875,15,20,75,80,7682
480,網膜,黄,0.1875,9,38,19,48,7682
481,カンナ,刃,0.1875,6,11,27,32,7682
482,器,心肺,0.18705,26,69,96,139,7682
483,保健,室,0.186747,62,71,323,332,7682
484,意識,病院,0.186441,77,227,263,413,7682
485,球,防,0.186441,44,235,45,236,7682
486,後日,植込み,0.185185,25,85,75,135,7682
487,アルコール,火,0.185185,5,10,22,27,7682
488,受傷部位:眼,行動:球技,0.185149,384,1664,794,2074,7682
489,加える,破る,0.184848,61,212,179,330,7682
490,障害,高次,0.184751,63,341,63,341,7682
491,プール,飛び込み,0.184211,21,102,33,114,7682
492,左下,短縮,0.184211,7,25,20,38,7682
493,病院,蘇生,0.184116,51,263,65,277,7682
494,卒業,式,0.183673,9,12,46,49,7682
495,斑,網膜,0.183673,9,20,38,49,7682
496,心肺,意識,0.18315,50,96,227,273,7682
497,器,通報,0.182927,15,69,28,82,7682
498,意識,搬送,0.182657,99,227,414,542,7682
499,ガラス,切る,0.18259,86,254,303,471,7682
500,ガラス,受傷機転:切創,0.18259,86,254,303,471,7682
501,傷害結果:欠損,睾丸,0.18254,23,104,45,126,7682
502,欠損,睾丸,0.18254,23,104,45,126,7682
503,前歯,本,0.182474,177,750,397,970,7682
504,心肺,車,0.181818,56,96,268,308,7682
505,ICD,呼吸,0.181818,18,57,60,99,7682
506,濡れる,環境要因:天候,0.181818,16,38,66,88,7682
