列名,カテゴリ,群,観測度数,期待度数,調整済み標準化残差,|z|≥1.96
競技種目,空手,歯牙障害以外,9,9.527206456651914,-0.3765599221572898,False
競技種目,空手,歯牙障害,3,2.4727935433480863,0.3765599221572895,False
競技種目,筋力トレーニング,歯牙障害以外,9,8.733272585264254,0.1989697259419424,False
競技種目,筋力トレーニング,歯牙障害,2,2.2667274147357457,-0.1989697259419424,False
競技種目,縄跳び,歯牙障害以外,7,5.557537099713616,1.3485222611509642,False
競技種目,縄跳び,歯牙障害,0,1.4424629002863838,-1.348522261150964,False
競技種目,自転車競技,歯牙障害以外,10,11.115074199427232,-0.7374632405363758,False
競技種目,自転車競技,歯牙障害,4,2.8849258005727676,0.737463240536376,False
競技種目,自転車競技部,歯牙障害以外,1,0.7939338713876595,0.5094943937808232,False
競技種目,自転車競技部,歯牙障害,0,0.20606612861234053,-0.5094943937808232,False
競技種目,走り幅跳び,歯牙障害以外,10,7.9393387138765945,1.6121074875138104,False
競技種目,走り幅跳び,歯牙障害,0,2.0606612861234055,-1.6121074875138104,False
競技種目,走り高跳び,歯牙障害以外,30,27.78768549856808,0.926635595306581,False
競技種目,走り高跳び,歯牙障害,5,7.212314501431919,-0.9266355953065809,False
競技種目,跳箱運動,歯牙障害以外,61,50.01783389742255,3.4348709628360306,True
競技種目,跳箱運動,歯牙障害,2,12.982166102577454,-3.4348709628360314,True
競技種目,運動なし,歯牙障害以外,3,2.3818016141629785,0.8825850886525163,False
競技種目,運動なし,歯牙障害,0,0.6181983858370216,-0.8825850886525164,False
競技種目,野球（含軟式）,歯牙障害以外,765,886.8241343400156,-9.748348853453663,True
競技種目,野球（含軟式）,歯牙障害,352,230.17586565998437,9.748348853453665,True
競技種目,鉄棒運動,歯牙障害以外,31,27.78768549856808,1.3454890606284495,False
競技種目,鉄棒運動,歯牙障害,4,7.212314501431919,-1.3454890606284493,False
競技種目,陸上競技（その他）,歯牙障害以外,26,26.993751627180423,-0.42228546638930353,False
競技種目,陸上競技（その他）,歯牙障害,8,7.006248372819578,0.42228546638930314,False
競技種目,障害走（ハードル）,歯牙障害以外,11,8.733272585264254,1.6909028003060251,False
競技種目,障害走（ハードル）,歯牙障害,0,2.2667274147357457,-1.6909028003060251,False
競技種目,（欠損）,歯牙障害以外,3061,2984.397422546212,4.322547215833525,True
競技種目,（欠損）,歯牙障害,698,774.6025774537881,-4.322547215833532,True
通学方法,その他,歯牙障害以外,1,0.7939338713876595,0.5094943937808232,False
通学方法,その他,歯牙障害,0,0.20606612861234053,-0.5094943937808232,False
通学方法,バス,歯牙障害以外,4,3.175735485550638,1.0191878412091702,False
通学方法,バス,歯牙障害,0,0.8242645144493621,-1.0191878412091702,False
通学方法,原動機付自転車,歯牙障害以外,18,14.290809684977871,2.1639977091555433,True
通学方法,原動機付自転車,歯牙障害,0,3.7091903150221297,-2.163997709155544,True
通学方法,徒歩,歯牙障害以外,159,160.37464202030722,-0.24232867732020907,False
通学方法,徒歩,歯牙障害,43,41.62535797969279,0.24232867732020782,False
通学方法,自動車,歯牙障害以外,1,0.7939338713876595,0.5094943937808232,False
通学方法,自動車,歯牙障害,0,0.20606612861234053,-0.5094943937808232,False
通学方法,自転車,歯牙障害以外,138,282.64045821400674,-19.407652746896648,True
通学方法,自転車,歯牙障害,218,73.35954178599323,19.407652746896648,True
通学方法,鉄道,歯牙障害以外,7,6.351470971101276,0.5671725576601869,False
通学方法,鉄道,歯牙障害,1,1.6485290288987242,-0.5671725576601869,False
